gen4,steady4,gen6,steady6,gen7,steady7
48.4,68.8,66.47454706,88.89288974,90.01520307,87.2825471
90.4,71.2,83.96624616,74.58326772,91.77425333,89.60661051
73,56.8,85.98765491,88.6438996,93.88734511,91.71425333
40,43.6,86.97853908,87.4832289,91.94889138,94.12734511
40.6,63.4,87.93853908,91.70287807,92.77669509,91.35289247
4.6,83.8,89.31853908,66.19788162,91.81402398,91.71679627
85.6,80.8,87.10784597,66.27968822,91.91611948,91.71425333
90.4,59.2,66.37959913,91.53289247,92.95605369,90.9838996
92.2,63.4,90.51605618,92.43876988,90.8638996,87.01065437
81.4,89.2,87.76784597,92.65528095,91.71679627,87.77859564
