

gen best mean std
0 92.327 8.421908 30.951238
1 92.327 22.830145 37.343327
2 92.576119 53.584772 34.343354
3 92.576119 69.710656 25.929954
4 92.576119 77.992767 20.20551
5 92.727 77.287135 22.41248
6 92.727 77.812013 21.415729
7 92.727 82.063226 17.592242
8 92.727 81.933912 17.033529
9 92.727 82.19693 18.31761
10 92.727 81.986572 17.619108
11 92.727 82.346884 17.541854
12 92.727 81.052554 18.711211
13 92.727 84.325823 15.185478
14 92.727 84.158557 15.914539
15 92.727 81.522057 18.244923
16 93.127 85.166432 12.38589
17 93.127 84.123008 13.839831
